,Aspect,Document,Sentiment,Dataset
1,LAPTOP#GENERAL,This computer is absolutely AMAZING!!!,positive,ABSA16_Laptops_Train_SB1_v2.csv
9,LAPTOP#GENERAL,the laptop was really good and it goes really fast just the way i thought it would of run.,positive,ABSA16_Laptops_Train_SB1_v2.csv
10,LAPTOP#GENERAL,i would really recommend to any person out there to get this laptop cause its really worth it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
17,LAPTOP#GENERAL,Oh my goodness-I am not a happy camper.,negative,ABSA16_Laptops_Train_SB1_v2.csv
25,LAPTOP#GENERAL,"So, you can imagine how unhappy I am with this item.",negative,ABSA16_Laptops_Train_SB1_v2.csv
30,LAPTOP#GENERAL,I would  say if you want to buy one of these machines be careful.,negative,ABSA16_Laptops_Train_SB1_v2.csv
33,LAPTOP#GENERAL,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",positive,ABSA16_Laptops_Train_SB1_v2.csv
36,LAPTOP#GENERAL,I have not have any problems.,positive,ABSA16_Laptops_Train_SB1_v2.csv
37,LAPTOP#GENERAL,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",positive,ABSA16_Laptops_Train_SB1_v2.csv
41,LAPTOP#GENERAL,This is something i would deffinately reccomend to someone.,positive,ABSA16_Laptops_Train_SB1_v2.csv
42,LAPTOP#GENERAL,You will not regret buying such a great thing like this!,positive,ABSA16_Laptops_Train_SB1_v2.csv
43,LAPTOP#GENERAL,It can't get any better.,positive,ABSA16_Laptops_Train_SB1_v2.csv
44,LAPTOP#GENERAL,"Waited on getting this computer, but it has been a great change.",positive,ABSA16_Laptops_Train_SB1_v2.csv
46,LAPTOP#GENERAL,This laptop meets every expectation and Windows 7 is great!,positive,ABSA16_Laptops_Train_SB1_v2.csv
51,LAPTOP#GENERAL,"Most everything is fine with this machine: speed, capacity, build.",positive,ABSA16_Laptops_Train_SB1_v2.csv
68,LAPTOP#GENERAL,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,positive,ABSA16_Laptops_Train_SB1_v2.csv
70,LAPTOP#GENERAL,"Great product, very easy to use and great graphics.",positive,ABSA16_Laptops_Train_SB1_v2.csv
72,LAPTOP#GENERAL,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",positive,ABSA16_Laptops_Train_SB1_v2.csv
75,LAPTOP#GENERAL,I'm very happy with this machine!,positive,ABSA16_Laptops_Train_SB1_v2.csv
77,LAPTOP#GENERAL,I don't really have a complaint.,positive,ABSA16_Laptops_Train_SB1_v2.csv
79,LAPTOP#GENERAL,Perfect trifecta!,positive,ABSA16_Laptops_Train_SB1_v2.csv
80,LAPTOP#GENERAL,I would recommend this product.,positive,ABSA16_Laptops_Train_SB1_v2.csv
90,LAPTOP#GENERAL,I can guarantee this will be the last Dell I will ever purchase!,negative,ABSA16_Laptops_Train_SB1_v2.csv
93,LAPTOP#GENERAL,"So far, a great product.",positive,ABSA16_Laptops_Train_SB1_v2.csv
96,LAPTOP#GENERAL,it is the worst computer dell ever made.,negative,ABSA16_Laptops_Train_SB1_v2.csv
108,LAPTOP#GENERAL,I am very Happy!,positive,ABSA16_Laptops_Train_SB1_v2.csv
113,LAPTOP#GENERAL,This MacBook is an outstanding product with great value.,positive,ABSA16_Laptops_Train_SB1_v2.csv
119,LAPTOP#GENERAL,I have had nothing but problems since the day I took it out of the box!,negative,ABSA16_Laptops_Train_SB1_v2.csv
125,LAPTOP#GENERAL,Buyer Beware.,negative,ABSA16_Laptops_Train_SB1_v2.csv
129,LAPTOP#GENERAL,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",negative,ABSA16_Laptops_Train_SB1_v2.csv
132,LAPTOP#GENERAL,"But, for the cost this is a winner.",positive,ABSA16_Laptops_Train_SB1_v2.csv
133,LAPTOP#GENERAL,I absolutely love my mac!,positive,ABSA16_Laptops_Train_SB1_v2.csv
134,LAPTOP#GENERAL,I can't imagine my life without it anymore!,positive,ABSA16_Laptops_Train_SB1_v2.csv
136,LAPTOP#GENERAL,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,positive,ABSA16_Laptops_Train_SB1_v2.csv
141,LAPTOP#GENERAL,I bought this laptop Was the worst Laptop I've ever bought.,negative,ABSA16_Laptops_Train_SB1_v2.csv
149,LAPTOP#GENERAL,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,positive,ABSA16_Laptops_Train_SB1_v2.csv
153,LAPTOP#GENERAL,It is amazing.,positive,ABSA16_Laptops_Train_SB1_v2.csv
157,LAPTOP#GENERAL,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,negative,ABSA16_Laptops_Train_SB1_v2.csv
161,LAPTOP#GENERAL,Was very much worth the price i paid.,positive,ABSA16_Laptops_Train_SB1_v2.csv
172,LAPTOP#GENERAL,Do not  buy it!,negative,ABSA16_Laptops_Train_SB1_v2.csv
173,LAPTOP#GENERAL,It is the worst laptop ever,negative,ABSA16_Laptops_Train_SB1_v2.csv
175,LAPTOP#GENERAL,i love ths notebook.,positive,ABSA16_Laptops_Train_SB1_v2.csv
