,aspect,document,sentiment,dataset
1442,LAPTOP#GENERAL,Probbly the worst decision we ever made!,negative,ABSA16_Laptops_Train_SB1_v2.csv
2143,LAPTOP#GENERAL,I am very happy with this computer.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1727,LAPTOP#GENERAL,My MacBook is probably the best investment I have ever made.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1801,LAPTOP#GENERAL,glad I bought it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
224,LAPTOP#GENERAL,but other then that I would give this product a 4 in hafe stars.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1090,LAPTOP#GENERAL,Its hard to encounter a problem on a mac that would require such abrupt action.,positive,ABSA16_Laptops_Train_SB1_v2.csv
2326,LAPTOP#GENERAL,"If they can fix this, I think it would be a very nice, cost-effective laptop.",positive,ABSA16_Laptops_Train_SB1_v2.csv
261,LAPTOP#GENERAL,"Out of all the laptops I have owned, this is by far the best!",,EN_LAPT_SB1_TEST_.B.csv
684,LAPTOP#GENERAL,this is starting off good.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1666,LAPTOP#GENERAL,But I am glad to have gotten mine right before they stopped making it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1656,FOOD#QUALITY,Bison was quite excellent however.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1321,FOOD#QUALITY,The food here was mediocre at best.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
128,FOOD#QUALITY,The food was bland oily.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1409,FOOD#QUALITY,"Red Dragon Roll - my favorite thing to eat, of any food group - hands down",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1115,FOOD#QUALITY,I thought I had died and gone to heaven.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1941,FOOD#QUALITY,"My father had the flank steak which was very good, and my mother had the swordfish.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1778,FOOD#QUALITY,My wife had barely touched that mess of a dish.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
476,FOOD#QUALITY,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1874,FOOD#QUALITY,"I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1139,FOOD#QUALITY,It just wasn't Thai.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
222,RESTAURANT#GENERAL,This was a repeat visit and we'll definitely be back again.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
817,RESTAURANT#GENERAL,"However, it is jus too good to not praise it.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1544,RESTAURANT#GENERAL,I never write on these sites but this restaurant is def worth commending!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
371,RESTAURANT#GENERAL,And where does Patis go wrong; no where.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
881,RESTAURANT#GENERAL,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
99,RESTAURANT#GENERAL,"A big disappointment, all around.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
564,RESTAURANT#GENERAL,Thank You Emilio.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
37,RESTAURANT#GENERAL,THe perfect spot.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1136,RESTAURANT#GENERAL,Thanks Bloom's for a lovely trip.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
610,RESTAURANT#GENERAL,Will never be back.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1930,SERVICE#GENERAL,"Maitre-D-""Eat and get out""",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1197,SERVICE#GENERAL,Staff is very accomodating.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1992,SERVICE#GENERAL,But the service is HORRID!,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1080,SERVICE#GENERAL,Service was very prompt but slightly rushed.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
505,SERVICE#GENERAL,Service was quick.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
896,SERVICE#GENERAL,But who says Murray's is anything about service.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
243,SERVICE#GENERAL,The staff is no nonsense.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
80,SERVICE#GENERAL,"The kitchen however, is almost always slow.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
439,SERVICE#GENERAL,The place is so cool and the service is prompt and curtious.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1387,SERVICE#GENERAL,Everyone was smiling so that made me feel welcome.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
894,LAPTOP#OPERATION_PERFORMANCE,The only time I have restarted is during system updates.,positive,ABSA16_Laptops_Train_SB1_v2.csv
688,LAPTOP#OPERATION_PERFORMANCE,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1594,LAPTOP#OPERATION_PERFORMANCE,At 16 months it started shutting off after only 5 or 10 minutes.,negative,ABSA16_Laptops_Train_SB1_v2.csv
2194,LAPTOP#OPERATION_PERFORMANCE,Very good performer for the price.,positive,ABSA16_Laptops_Train_SB1_v2.csv
535,LAPTOP#OPERATION_PERFORMANCE,"Mine has been though hundreds of parties, weddings, quinces, anything involving performances, it can take it!",,EN_LAPT_SB1_TEST_.B.csv
849,LAPTOP#OPERATION_PERFORMANCE,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",negative,ABSA16_Laptops_Train_SB1_v2.csv
134,LAPTOP#OPERATION_PERFORMANCE,"We don't have to de-frag, deliete cookies, run security programs, or any of the common PC problems that have to be delt with in order to keep you running and up to speed.",,EN_LAPT_SB1_TEST_.B.csv
2317,LAPTOP#OPERATION_PERFORMANCE,"In all my life i have never come across a computer as slow as this one, it cant perform basic operations and is practically useless.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1424,LAPTOP#OPERATION_PERFORMANCE,"It pretty much does everything we could ever need, and looks great to boot.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1924,LAPTOP#OPERATION_PERFORMANCE,I find that it often gets very slow and I have to restart more than usual.,negative,ABSA16_Laptops_Train_SB1_v2.csv
279,LAPTOP#DESIGN_FEATURES,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",positive,ABSA16_Laptops_Train_SB1_v2.csv
535,LAPTOP#DESIGN_FEATURES,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,positive,ABSA16_Laptops_Train_SB1_v2.csv
83,LAPTOP#DESIGN_FEATURES,"However, a few things are immediately occurring to me  I had read the other reviews here on amazon, but decided the specs and appearance looked good enough to go ahead.",,EN_LAPT_SB1_TEST_.B.csv
1011,LAPTOP#DESIGN_FEATURES,Not to mention the fact that your mac comes fully loaded with all necessary basic programs.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1262,LAPTOP#DESIGN_FEATURES,"what an elegant, wonderful machine.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2427,LAPTOP#DESIGN_FEATURES,"Firstly, it has no leds to let you know what is going on, no cap lock, no hard drive indicator, nothing.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1919,LAPTOP#DESIGN_FEATURES,Perfect size for me.,positive,ABSA16_Laptops_Train_SB1_v2.csv
376,LAPTOP#DESIGN_FEATURES,"Other installed features, such as certain printer software, are also most attractive.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2115,LAPTOP#DESIGN_FEATURES,"My favorite colors black and red, the matte material and the red backlight of the keyboard.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1237,LAPTOP#DESIGN_FEATURES,when i first got it i thought the size of it was a joke.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
661,LAPTOP#QUALITY,I received a dud and have had nothing but problems since right after I purchased this horrible machine.,,EN_LAPT_SB1_TEST_.B.csv
529,LAPTOP#QUALITY,4. build solid and durable,,EN_LAPT_SB1_TEST_.B.csv
